cвободная_паллетная_ёмкость:72618
шаг;материал;приход;уход;остаток
11;0;0;41;622
11;1;0;36;9862
11;2;0;0;0
11;3;0;44;5186
11;4;0;211;3756
11;5;0;226;521
11;6;0;229;887
11;7;0;559;1133
11;8;0;107;0
11;9;0;0;0
11;10;0;274;1063
11;11;0;141;3129
11;12;2000;313;4300
11;13;0;256;3461
11;14;0;46;3120
11;15;0;0;0
11;16;0;128;870
11;17;0;142;803
11;18;0;124;5091
11;19;0;201;626
11;20;0;70;1064
11;21;0;336;602
11;22;0;32;729
11;23;2000;387;1789
11;24;0;107;104
11;25;0;49;447
11;26;0;331;3
11;27;0;212;1277
11;28;0;204;1641
11;29;0;13;572
11;30;0;0;0
11;31;0;0;0
11;32;0;155;4168
11;33;0;0;0
11;34;0;85;3032
11;35;2000;254;5634
11;36;0;81;4960
11;37;0;0;0
11;38;0;320;4819
11;39;2000;242;3042
11;40;0;82;1113
11;41;2000;95;2091
11;42;2000;117;1883
11;43;0;96;1432
11;44;0;89;2166
11;45;0;252;1769
11;46;0;181;2136
11;47;0;220;627
11;48;0;240;1500
11;49;0;92;0
11;50;0;219;1098
11;51;0;295;1461
11;52;0;309;0
11;53;0;58;706
11;54;0;63;718
11;55;0;0;0
11;56;0;397;2153
11;57;0;0;0
11;58;0;0;0
11;59;0;636;768
11;60;0;166;5645
11;61;0;0;0
11;62;0;238;1423
11;63;0;0;0
11;64;0;347;4691
11;65;0;0;0
11;66;0;0;0
11;67;0;89;5894
11;68;0;79;3467
11;69;0;0;0
11;70;0;3;0
11;71;0;0;0
11;72;0;0;0
11;73;0;0;0
11;74;0;0;0
11;75;0;0;0
11;76;0;0;0
11;77;0;125;298
11;78;0;12;5453
11;79;0;137;577
